item_id	movie_title_item	movie_title_emb
72	Mask, The	
73	Maverick	Maverick (1994)
74	Faster Pussycat! Kill! Kill!	Faster Pussycat! Kill! Kill! (1965)
75	Brother Minister: The Assassination of Malcolm X	
76	Carlito's Way	Carlito's Way (1993)
77	Firm, The	
78	Free Willy	Free Willy 2 The Adventure Home (1995)
79	Fugitive, The	
80	Hot Shots! Part Deux	Hot Shots! Part Deux (1993)
81	Hudsucker Proxy, The	
82	Jurassic Park	Jurassic Park III (2001)
83	Much Ado About Nothing	Much Ado About Nothing (1993)
84	Robert A. Heinlein's The Puppet Masters	
85	Ref, The	
86	Remains of the Day, The	
87	Searching for Bobby Fischer	Searching for Bobby Fischer (1993)
88	Sleepless in Seattle	Sleepless in Seattle (1993)
89	Blade Runner	Blade Runner (1982)
90	So I Married an Axe Murderer	So I Married an Axe Murderer (1993)
91	Nightmare Before Christmas, The	
92	True Romance	True Romance (1993)
93	Welcome to the Dollhouse	Welcome to the Dollhouse (1995)
94	Home Alone	Home Alone 2 Lost in New York (1992)
95	Aladdin	Aladdin and the King of Thieves (1996)
96	Terminator 2: Judgment Day	
97	Dances with Wolves	Dances with Wolves (1990)
98	Silence of the Lambs, The	
99	Snow White and the Seven Dwarfs	Snow White and the Seven Dwarfs (1937)
100	Fargo	Fargo (1996)
101	Heavy Metal	Heavy Metal (1981)
102	Aristocats, The	
103	All Dogs Go to Heaven 2	All Dogs Go to Heaven 2 (1996)
104	Theodore Rex	Theodore Rex (1995)
105	Sgt. Bilko	Sgt. Bilko (1996)
106	Diabolique	Diabolique (1996)
107	Moll Flanders	
108	Kids in the Hall: Brain Candy	
109	Mystery Science Theater 3000: The Movie	
110	Operation Dumbo Drop	Operation Dumbo Drop (1995)
111	Truth About Cats & Dogs, The	
112	Flipper	
113	Horseman on the Roof, The (Hussard sur le toit, Le)	
114	Wallace & Gromit: The Best of Aardman Animation	
115	Haunted World of Edward D. Wood Jr., The	
116	Cold Comfort Farm	Cold Comfort Farm (1995)
117	Rock, The	
118	Twister	
119	Maya Lin: A Strong Clear Vision	
120	Striptease	Striptease (1996)
121	Independence Day (ID4)	
122	Cable Guy, The	
123	Frighteners, The	
124	Lone Star	
125	Phenomenon	Phenomenon (1996)
126	Spitfire Grill, The	
127	Godfather, The	
128	Supercop	
129	Bound	Homeward Bound II Lost in San Francisco (1996)
130	Kansas City	Kansas City (1996)
131	Breakfast at Tiffany's	Breakfast at Tiffany's (1961)
132	Wizard of Oz, The	
133	Gone with the Wind	Gone with the Wind (1939)
134	Citizen Kane	Citizen Kane (1941)
135	2001: A Space Odyssey	
136	Mr. Smith Goes to Washington	Mr. Smith Goes to Washington (1939)
137	Big Night	Big Night (1996)
138	D3: The Mighty Ducks	
139	Love Bug, The	
140	Homeward Bound: The Incredible Journey	
141	20,000 Leagues Under the Sea	20,000 Leagues Under the Sea (1954)
142	Bedknobs and Broomsticks	Bedknobs and Broomsticks (1971)
143	Sound of Music, The	Sound of Music, The (1965)
144	Die Hard	Die Hard 2 (1990)
145	Lawnmower Man, The	
146	Unhook the Stars	
147	Long Kiss Goodnight, The	
148	Ghost and the Darkness, The	
149	Jude	Jude (1996)
150	Swingers	Swingers (1996)
151	Willy Wonka and the Chocolate Factory	
152	Sleeper	Sleepers (1996)
153	Fish Called Wanda, A	
154	Monty Python's Life of Brian	Monty Python's Life of Brian (1979)
155	Dirty Dancing	Dirty Dancing (1987)
156	Reservoir Dogs	Reservoir Dogs (1992)
157	Platoon	Platoon (1986)
158	Weekend at Bernie's	Weekend at Bernie's II (1993)
159	Basic Instinct	Basic Instinct (1992)
160	Glengarry Glen Ross	Glengarry Glen Ross (1992)
161	Top Gun	Top Gun (1986)
162	On Golden Pond	On Golden Pond (1981)
163	Return of the Pink Panther, The	
164	Abyss, The	
165	Jean de Florette	Jean de Florette (1986)
166	Manon of the Spring (Manon des sources)	
167	Private Benjamin	Private Benjamin (1980)
168	Monty Python and the Holy Grail	Monty Python and the Holy Grail (1975)
169	Wrong Trousers, The	
170	Cinema Paradiso	
171	Delicatessen	Delicatessen (1991)
172	Empire Strikes Back, The	
173	Princess Bride, The	
174	Raiders of the Lost Ark	
175	Brazil	
176	Aliens	Evil Aliens (2005)
177	Good, The Bad and The Ugly, The	
178	12 Angry Men	12 Angry Men (1957)
179	Clockwork Orange, A	Clockwork Orange, A (1971)
180	Apocalypse Now	Apocalypse Now (1979)
181	Return of the Jedi	Star Wars Episode VI - Return of the Jedi (1983)
182	GoodFellas	
183	Alien	Alien from L.A. (1988)
184	Army of Darkness	Army of Darkness (1993)
185	Psycho	Psycho II (1983)
186	Blues Brothers, The	
187	Godfather: Part II, The	
188	Full Metal Jacket	Full Metal Jacket (1987)
189	Grand Day Out, A	
190	Henry V	Henry V (1989)
191	Amadeus	Amadeus (1984)
192	Raging Bull	Raging Bull (1980)
193	Right Stuff, The	
194	Sting, The	Sting, The (1973)
195	Terminator, The	
196	Dead Poets Society	Dead Poets Society (1989)
197	Graduate, The	
198	Nikita (La Femme Nikita)	
199	Bridge on the River Kwai, The	
200	Shining, The	
201	Evil Dead II	
202	Groundhog Day	Groundhog Day (1993)
203	Unforgiven	Unforgiven (1992)
204	Back to the Future	Back to the Future Part III (1990)
205	Patton	Patton (1970)
206	Akira	Akira (1988)
207	Cyrano de Bergerac	
208	Young Frankenstein	Young Frankenstein (1974)
209	This Is Spinal Tap	This Is Spinal Tap (1984)
210	Indiana Jones and the Last Crusade	Indiana Jones and the Last Crusade (1989)
211	M*A*S*H	
212	Unbearable Lightness of Being, The	
213	Room with a View, A	
214	Pink Floyd - The Wall	
215	Field of Dreams	Field of Dreams (1989)
216	When Harry Met Sally...	When Harry Met Sally... (1989)
217	Bram Stoker's Dracula	
218	Cape Fear	
219	Nightmare on Elm Street, A	
220	Mirror Has Two Faces, The	
221	Breaking the Waves	Breaking the Waves (1996)
222	Star Trek: First Contact	
223	Sling Blade	Sling Blade (1996)
224	Ridicule	Ridicule (1996)
225	101 Dalmatians	101 Dalmatians (1996)
226	Die Hard 2	Die Hard 2 (1990)
227	Star Trek VI: The Undiscovered Country	
228	Star Trek: The Wrath of Khan	
229	Star Trek III: The Search for Spock	
230	Star Trek IV: The Voyage Home	
231	Batman Returns	Batman Returns (1992)
232	Young Guns	Young Guns II (1990)
233	Under Siege	Under Siege 2 Dark Territory (1995)
234	Jaws	Jaws (1975)
235	Mars Attacks!	Mars Attacks! (1996)
236	Citizen Ruth	Citizen Ruth (1996)
237	Jerry Maguire	Jerry Maguire (1996)
238	Raising Arizona	Raising Arizona (1987)
239	Sneakers	
240	Beavis and Butt-head Do America	
241	Last of the Mohicans, The	
242	Kolya	
243	Jungle2Jungle	
244	Smilla's Sense of Snow	Smilla's Sense of Snow (1997)
245	Devil's Own, The	
246	Chasing Amy	Chasing Amy (1997)
247	Turbo: A Power Rangers Movie	
248	Grosse Pointe Blank	Grosse Pointe Blank (1997)
249	Austin Powers: International Man of Mystery	
250	Fifth Element, The	
251	Shall We Dance?	
252	Lost World: Jurassic Park, The	
253	Pillow Book, The	
254	Batman & Robin	Batman & Robin (1997)
255	My Best Friend's Wedding	My Best Friend's Wedding (1997)
256	When the Cats Away (Chacun cherche son chat)	
257	Men in Black	
258	Contact	Contact (1997)
259	George of the Jungle	George of the Jungle (1997)
260	Event Horizon	Event Horizon (1997)
261	Air Bud	Air Bud Golden Receiver (1998)
262	In the Company of Men	In the Company of Men (1997)
263	Steel	Steel Magnolias (1989)
264	Mimic	Mimic (1997)
265	Hunt for Red October, The	
266	Kull the Conqueror	Kull the Conqueror (1997)
267	unkonwn	
268	Chasing Amy	Chasing Amy (1997)
269	Full Monty, The	
270	Gattaca	Gattaca (1997)
271	Starship Troopers	Starship Troopers (1997)
272	Good Will Hunting	Good Will Hunting (1997)
273	Heat	Heathers (1989)
274	Sabrina	
275	Sense and Sensibility	Sense and Sensibility (1995)
276	Leaving Las Vegas	Leaving Las Vegas (1995)
277	Restoration	Restoration (1995)
278	Bed of Roses	
279	Once Upon a Time... When We Were Colored	Once Upon a Time... When We Were Colored (1995)
280	Up Close and Personal	Up Close and Personal (1996)
281	River Wild, The	
282	Time to Kill, A	
283	Emma	Alex and Emma (2003)
284	Tin Cup	Tin Cup (1996)
285	Secrets & Lies	Secrets & Lies (1996)
286	English Patient, The	
287	Marvin's Room	Marvin's Room (1996)
288	Scream	Scream 2 (1997)
289	Evita	
290	Fierce Creatures	Fierce Creatures (1997)
291	Absolute Power	Absolute Power (1997)
292	Rosewood	Rosewood (1997)
293	Donnie Brasco	Donnie Brasco (1997)
294	Liar Liar	Liar Liar (1997)
295	Breakdown	
296	Promesse, La	
297	Ulee's Gold	Ulee's Gold (1997)
298	Face/Off	
299	Hoodlum	Hoodlum (1997)
300	Air Force One	Air Force One (1997)
301	In & Out	In & Out (1997)
302	L.A. Confidential	L.A. Confidential (1997)
303	Ulee's Gold	Ulee's Gold (1997)
304	Fly Away Home	Fly Away Home (1996)
305	Ice Storm, The	
306	Mrs. Brown (Her Majesty, Mrs. Brown)	
307	Devil's Advocate, The	
308	FairyTale: A True Story	
309	Deceiver	Deceiver (1997)
310	Rainmaker, The	
311	Wings of the Dove, The	
312	Midnight in the Garden of Good and Evil	Midnight in the Garden of Good and Evil (1997)
313	Titanic	Titanic (1997)
314	3 Ninjas: High Noon At Mega Mountain	
315	Apt Pupil	Apt Pupil (1998)
316	As Good As It Gets	
317	In the Name of the Father	In the Name of the Father (1993)
318	Schindler's List	Schindler's List (1993)
319	Everyone Says I Love You	Everyone Says I Love You (1996)
320	Paradise Lost: The Child Murders at Robin Hood Hills	
321	Mother	Some Mother's Son (1996)
322	Murder at 1600	Murder at 1600 (1997)
323	Dante's Peak	Dante's Peak (1997)
324	Lost Highway	Lost Highway (1997)
325	Crash	Crash (2004)
326	G.I. Jane	G.I. Jane (1997)
327	Cop Land	Cop Land (1997)
328	Conspiracy Theory	Conspiracy Theory (1997)
329	Desperate Measures	Desperate Measures (1998)
330	187	
331	Edge, The	
332	Kiss the Girls	Kiss the Girls (1997)
333	Game, The	
334	U Turn	
335	How to Be a Player	
336	Playing God	
337	House of Yes, The	
338	Bean	Milagro Beanfield War (1988)
339	Mad City	Mad City (1997)
340	Boogie Nights	Boogie Nights (1997)
341	Critical Care	Critical Care (1997)
342	Man Who Knew Too Little, The	
343	Alien: Resurrection	
344	Apostle, The	
345	Deconstructing Harry	Deconstructing Harry (1997)
346	Jackie Brown	Jackie Brown (1997)
347	Wag the Dog	Wag the Dog (1997)
348	Desperate Measures	Desperate Measures (1998)
349	Hard Rain	Hard Rain (1998)
350	Fallen	
351	Prophecy II, The	
352	Spice World	Spice World (1997)
353	Deep Rising	Deep Rising (1998)
354	Wedding Singer, The	
355	Sphere	
356	Client, The	
357	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest (1975)
358	Spawn	Piranha II The Spawning (1981)
359	Assignment, The	
360	Wonderland	Next Stop Wonderland (1998)
361	Incognito	
362	Blues Brothers 2000	Blues Brothers 2000 (1998)
363	Sudden Death	
364	Ace Ventura: When Nature Calls	
365	Powder	
366	Dangerous Minds	Dangerous Minds (1995)
367	Clueless	Clueless (1995)
368	Bio-Dome	Bio-Dome (1996)
369	Black Sheep	
370	Mary Reilly	Mary Reilly (1996)
371	Bridges of Madison County, The	
372	Jeffrey	
373	Judge Dredd	Judge Dredd (1995)
374	Mighty Morphin Power Rangers: The Movie	
375	Showgirls	Showgirls (1995)
376	Houseguest	Houseguest (1994)
377	Heavyweights	
378	Miracle on 34th Street	Miracle on 34th Street (1947)
379	Tales From the Crypt Presents: Demon Knight	
380	Star Trek: Generations	
381	Muriel's Wedding	Muriel's Wedding (1994)
382	Adventures of Priscilla, Queen of the Desert, The	
383	Flintstones, The	
384	Naked Gun 33 1/3: The Final Insult	
385	True Lies	True Lies (1994)
386	Addams Family Values	Addams Family Values (1993)
387	Age of Innocence, The	
388	Beverly Hills Cop III	Beverly Hills Cop III (1994)
389	Black Beauty	
390	Fear of a Black Hat	Fear of a Black Hat (1994)
391	Last Action Hero	Last Action Hero (1993)
392	Man Without a Face, The	
393	Mrs. Doubtfire	Mrs. Doubtfire (1993)
394	Radioland Murders	Radioland Murders (1994)
395	Robin Hood: Men in Tights	
396	Serial Mom	Serial Mom (1994)
397	Striking Distance	Striking Distance (1993)
398	Super Mario Bros.	Super Mario Bros. (1993)
399	Three Musketeers, The	
400	Little Rascals, The	
401	Brady Bunch Movie, The	
402	Ghost	Ghosts of the Abyss (2003)
403	Batman	Batman Mask of the Phantasm (1993)
404	Pinocchio	Pinocchio (1940)
405	Mission: Impossible	
406	Thinner	Thinner (1996)
407	Spy Hard	Spy Hard (1996)
408	Close Shave, A	
409	Jack	Full Metal Jacket (1987)
410	Kingpin	
411	Nutty Professor, The	
412	Very Brady Sequel, A	
413	Tales from the Crypt Presents: Bordello of Blood	
414	My Favorite Year	My Favorite Year (1982)
415	Apple Dumpling Gang, The	
416	Old Yeller	Old Yeller (1957)
417	Parent Trap, The	
418	Cinderella	Cinderella Man (2005)
419	Mary Poppins	Mary Poppins (1964)
420	Alice in Wonderland	
421	William Shakespeare's Romeo and Juliet	
422	Aladdin and the King of Thieves	Aladdin and the King of Thieves (1996)
423	E.T. the Extra-Terrestrial	E.T. the Extra-Terrestrial (1982)
424	Children of the Corn: The Gathering	
425	Bob Roberts	Bob Roberts (1992)
426	Transformers: The Movie, The	
427	To Kill a Mockingbird	To Kill a Mockingbird (1962)
428	Harold and Maude	Harold and Maude (1971)
429	Day the Earth Stood Still, The	
430	Duck Soup	Duck Soup (1933)
431	Highlander	Highlander II The Quickening (1991)
432	Fantasia	Fantasia 2000 (1999)
433	Heathers	Heathers (1989)
434	Forbidden Planet	Forbidden Planet (1956)
435	Butch Cassidy and the Sundance Kid	Butch Cassidy and the Sundance Kid (1969)
436	American Werewolf in London, An	
437	Amityville 1992: It's About Time	
438	Amityville 3-D	Amityville 3-D (1983)
439	Amityville: A New Generation	
440	Amityville II: The Possession	
441	Amityville Horror, The	
442	Amityville Curse, The	
443	Birds, The	
444	Blob, The	
445	Body Snatcher, The	
446	Burnt Offerings	Burnt Offerings (1976)
447	Carrie	Carrie (2002)
448	Omen, The	
449	Star Trek: The Motion Picture	
450	Star Trek V: The Final Frontier	
451	Grease	Grease 2 (1982)
452	Jaws 2	Jaws 2 (1978)
453	Jaws 3-D	Jaws 3-D (1983)
454	Bastard Out of Carolina	Bastard Out of Carolina (1996)
455	Jackie Chan's First Strike	
456	Beverly Hills Ninja	Beverly Hills Ninja (1997)
457	Free Willy 3: The Rescue	
458	Nixon	Nixon (1995)
459	Cry, the Beloved Country	Cry, the Beloved Country (1995)
460	Crossing Guard, The	
461	Smoke	Smokey and the Bandit (1977)
462	Like Water For Chocolate (Como agua para chocolate)	
463	Secret of Roan Inish, The	
464	Vanya on 42nd Street	Vanya on 42nd Street (1994)
465	Jungle Book, The	Jungle Book, The (1967)
466	Red Rock West	Red Rock West (1992)
467	Bronx Tale, A	
468	Rudy	Rudy (1993)
469	Short Cuts	Short Cuts (1993)
470	Tombstone	Tombstone (1993)
471	Courage Under Fire	Courage Under Fire (1996)
472	Dragonheart	Dragonheart (1996)
473	James and the Giant Peach	James and the Giant Peach (1996)
474	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	
475	Trainspotting	Trainspotting (1996)
476	First Wives Club, The	
477	Matilda	
478	Philadelphia Story, The	
479	Vertigo	Vertigo (1958)
480	North by Northwest	North by Northwest (1959)
481	Apartment, The	
482	Some Like It Hot	Some Like It Hot (1959)
483	Casablanca	Casablanca (1942)
484	Maltese Falcon, The	
485	My Fair Lady	My Fair Lady (1964)
486	Sabrina	
487	Roman Holiday	Roman Holiday (1953)
488	Sunset Blvd.	
489	Notorious	Notorious (1946)
490	To Catch a Thief	To Catch a Thief (1955)
491	Adventures of Robin Hood, The	
492	East of Eden	East of Eden (1955)
493	Thin Man, The	
494	His Girl Friday	His Girl Friday (1940)
495	Around the World in 80 Days	
496	It's a Wonderful Life	It's a Wonderful Life (1946)
497	Bringing Up Baby	Bringing Up Baby (1938)
498	African Queen, The	
499	Cat on a Hot Tin Roof	Cat on a Hot Tin Roof (1958)
500	Fly Away Home	Fly Away Home (1996)
501	Dumbo	Dumbo (1941)
502	Bananas	Bananas (1971)
503	Candidate, The	
504	Bonnie and Clyde	Bonnie and Clyde (1967)
505	Dial M for Murder	Dial M for Murder (1954)
506	Rebel Without a Cause	Rebel Without a Cause (1955)
507	Streetcar Named Desire, A	
508	People vs. Larry Flynt, The	
509	My Left Foot	My Left Foot (1989)
510	Magnificent Seven, The	
511	Lawrence of Arabia	Lawrence of Arabia (1962)
512	Wings of Desire	
513	Third Man, The	
514	Annie Hall	Annie Hall (1977)
515	Boot, Das	
516	Local Hero	Local Hero (1983)
517	Manhattan	Manhattan Murder Mystery (1993)
518	Miller's Crossing	Miller's Crossing (1990)
519	Treasure of the Sierra Madre, The	
520	Great Escape, The	
521	Deer Hunter, The	
522	Down by Law	Down by Law (1986)
523	Cool Hand Luke	Cool Hand Luke (1967)
524	Great Dictator, The	
525	Big Sleep, The	Big Sleep, The (1946)
526	Ben-Hur	Ben-Hur A Tale of the Christ (1925)
527	Gandhi	Gandhi (1982)
528	Killing Fields, The	
529	My Life as a Dog (Mitt liv som hund)	
530	Man Who Would Be King, The	
531	Shine	Shine (1996)
532	Kama Sutra: A Tale of Love	
533	Daytrippers, The	
534	Traveller	
535	Addicted to Love	Addicted to Love (1997)
536	Ponette	Ponette (1996)
537	My Own Private Idaho	My Own Private Idaho (1991)
538	Anastasia	Anastasia (1997)
539	Mouse Hunt	Mouse Hunt (1997)
540	Money Train	Money Train (1995)
541	Mortal Kombat	Mortal Kombat Annihilation (1997)
542	Pocahontas	Pocahontas (1995)
543	Misérables, Les	
544	Things to Do in Denver when You're Dead	
545	Vampire in Brooklyn	Vampire in Brooklyn (1995)
546	Broken Arrow	
547	Young Poisoner's Handbook, The	
548	NeverEnding Story III, The	
549	Rob Roy	
550	Die Hard: With a Vengeance	
551	Lord of Illusions	Lord of Illusions (1995)
552	Species	Species (1995)
553	Walk in the Clouds, A	
554	Waterworld	Waterworld (1995)
555	White Man's Burden	White Man's Burden (1995)
556	Wild Bill	
557	Farinelli: il castrato	
558	Heavenly Creatures	Heavenly Creatures (1994)
559	Interview with the Vampire	Interview with the Vampire The Vampire Chronicles (1994)
560	Kid in King Arthur's Court, A	
561	Mary Shelley's Frankenstein	
562	Quick and the Dead, The	
563	Stephen King's The Langoliers	
564	Tales from the Hood	Tales from the Hood (1995)
565	Village of the Damned	
566	Clear and Present Danger	Clear and Present Danger (1994)
567	Wes Craven's New Nightmare	
568	Speed	Speed 2 Cruise Control (1997)
569	Wolf	Teen Wolf (1985)
570	Wyatt Earp	Wyatt Earp (1994)
571	Another Stakeout	Another Stakeout (1993)
572	Blown Away	
573	Body Snatchers	Invasion of the Body Snatchers (1956)
574	Boxing Helena	Boxing Helena (1993)
575	City Slickers II: The Legend of Curly's Gold	
576	Cliffhanger	Cliffhanger (1993)
577	Coneheads	Coneheads (1993)
578	Demolition Man	Demolition Man (1993)
579	Fatal Instinct	Fatal Instinct (1993)
580	Englishman Who Went Up a Hill, But Came Down a Mountain, The	
581	Kalifornia	Kalifornia (1993)
582	Piano, The	
583	Romeo Is Bleeding	Romeo Is Bleeding (1993)
584	Secret Garden, The	
585	Son in Law	Son in Law (1993)
586	Terminal Velocity	Terminal Velocity (1994)
587	Hour of the Pig, The	
588	Beauty and the Beast	
589	Wild Bunch, The	
590	Hellraiser: Bloodline	
591	Primal Fear	Primal Fear (1996)
592	True Crime	True Crime (1999)
593	Stalingrad	
594	Heavy	Heavy (1995)
595	Fan, The	
596	Hunchback of Notre Dame, The	
597	Eraser	Eraserhead (1977)
598	Big Squeeze, The	
599	Police Story 4: Project S (Chao ji ji hua)	
600	Daniel Defoe's Robinson Crusoe	
601	For Whom the Bell Tolls	For Whom the Bell Tolls (1943)
602	American in Paris, An	
603	Rear Window	Rear Window (1954)
604	It Happened One Night	It Happened One Night (1934)
605	Meet Me in St. Louis	Meet Me in St. Louis (1944)
606	All About Eve	All About Eve (1950)
607	Rebecca	
608	Spellbound	
609	Father of the Bride	Father of the Bride Part II (1995)
610	Gigi	
611	Laura	Eyes of Laura Mars (1978)
612	Lost Horizon	Lost Horizon (1937)
613	My Man Godfrey	My Man Godfrey (1957)
614	Giant	Little Giants (1994)
615	39 Steps, The	
616	Night of the Living Dead	Night of the Living Dead (1968)
617	Blue Angel, The (Blaue Engel, Der)	
618	Picnic	Picnic at Hanging Rock (1975)
619	Extreme Measures	Extreme Measures (1996)
620	Chamber, The	
621	Davy Crockett, King of the Wild Frontier	Davy Crockett, King of the Wild Frontier (1955)
622	Swiss Family Robinson	Swiss Family Robinson (1960)
623	Angels in the Outfield	Angels in the Outfield (1994)
624	Three Caballeros, The	
625	Sword in the Stone, The	
626	So Dear to My Heart	
627	Robin Hood: Prince of Thieves	
628	Sleepers	Sleepers (1996)
629	Victor/Victoria	
630	Great Race, The	
631	Crying Game, The	
632	Sophie's Choice	Sophie's Choice (1982)
633	Christmas Carol, A	
634	Microcosmos: Le peuple de l'herbe	
635	Fog, The	
636	Escape from New York	Escape from New York (1981)
637	Howling, The	
638	Return of Martin Guerre, The (Retour de Martin Guerre, Le)	
639	Tin Drum, The (Blechtrommel, Die)	
640	Cook the Thief His Wife & Her Lover, The	
641	Paths of Glory	Paths of Glory (1957)
642	Grifters, The	
643	The Innocent	
644	Thin Blue Line, The	
645	Paris Is Burning	Paris Is Burning (1990)
646	Once Upon a Time in the West	
647	Ran	Beyond Rangoon (1995)
648	Quiet Man, The	
649	Once Upon a Time in America	Once Upon a Time in America (1984)
650	Seventh Seal, The (Sjunde inseglet, Det)	
651	Glory	Glory Road (2006)
652	Rosencrantz and Guildenstern Are Dead	
653	Touch of Evil	Touch of Evil (1958)
654	Chinatown	
655	Stand by Me	Stand by Me (1986)
656	M	Marie Antoinette (2006)
657	Manchurian Candidate, The	
658	Pump Up the Volume	Pump Up the Volume (1990)
659	Arsenic and Old Lace	Arsenic and Old Lace (1944)
660	Fried Green Tomatoes	Fried Green Tomatoes (1991)
661	High Noon	High Noon (1952)
662	Somewhere in Time	Somewhere in Time (1980)
663	Being There	Being There (1979)
664	Paris, Texas	Paris, Texas (1984)
665	Alien 3	
666	Blood For Dracula (Andy Warhol's Dracula)	
667	Audrey Rose	Audrey Rose (1977)
668	Blood Beach	Blood Beach (1981)
669	Body Parts	Body Parts (1991)
670	Body Snatchers	Invasion of the Body Snatchers (1956)
671	Bride of Frankenstein	
672	Candyman	Candyman 3 Day of the Dead (1999)
673	Cape Fear	
674	Cat People	Cat People (1982)
675	Nosferatu (Nosferatu, eine Symphonie des Grauens)	
676	Crucible, The	
677	Fire on the Mountain	
678	Volcano	Volcano (1997)
679	Conan the Barbarian	Conan the Barbarian (1982)
680	Kull the Conqueror	Kull the Conqueror (1997)
681	Wishmaster	Wishmaster (1997)
682	I Know What You Did Last Summer	I Know What You Did Last Summer (1997)
683	Rocket Man	
684	In the Line of Fire	In the Line of Fire (1993)
685	Executive Decision	Executive Decision (1996)
686	Perfect World, A	
687	McHale's Navy	McHale's Navy (1997)
688	Leave It to Beaver	Leave It to Beaver (1997)
689	Jackal, The	
690	Seven Years in Tibet	
691	Dark City	Dark City (1998)
692	American President, The	
693	Casino	Casino Royale (1967)
694	Persuasion	Friendly Persuasion (1956)
695	Kicking and Screaming	
696	City Hall	
697	Basketball Diaries, The	Basketball Diaries, The (1995)
698	Browning Version, The	
699	Little Women	Little Women (1994)
700	Miami Rhapsody	Miami Rhapsody (1995)
701	Wonderful, Horrible Life of Leni Riefenstahl, The	
702	Barcelona	Barcelona (1994)
703	Widows' Peak	Widows' Peak (1994)
704	House of the Spirits, The	
705	Singin' in the Rain	Singin' in the Rain (1952)
706	Bad Moon	
707	Enchanted April	Enchanted April (1992)
708	Sex, Lies, and Videotape	Sex, Lies, and Videotape (1989)
709	Strictly Ballroom	Strictly Ballroom (1992)
710	Better Off Dead...	
711	Substance of Fire, The	
712	Tin Men	Tin Men (1987)
713	Othello	
714	Carrington	
715	To Die For	To Die For (1995)
716	Home for the Holidays	
717	Juror, The	
718	In the Bleak Midwinter	In the Bleak Midwinter (1995)
719	Canadian Bacon	Canadian Bacon (1995)
720	First Knight	First Knight (1995)
721	Mallrats	Mallrats (1995)
722	Nine Months	Nine Months (1995)
723	Boys on the Side	Boys on the Side (1995)
724	Circle of Friends	Circle of Friends (1995)
725	Exit to Eden	Exit to Eden (1994)
726	Fluke	Fluke (1995)
727	Immortal Beloved	Immortal Beloved (1994)
728	Junior	Junior (1994)
729	Nell	Nelly & Monsieur Arnaud (1995)
730	Queen Margot (Reine Margot, La)	
731	Corrina, Corrina	Corrina, Corrina (1994)
732	Dave	Dave (1993)
733	Go Fish	Go Fish (1994)
734	Made in America	
735	Philadelphia	Philadelphia (1993)
736	Shadowlands	
737	Sirens	
